# loglike weights omch2 ombh2 h ns 10^9As b0
1.432574053881569276e-01 2.653394175138792943e-02 7.268623647638539076e-01 9.539190200003501152e-01 2.837482866020334615e+00 1.319844477445416331e+00 0.000000000000000000e+00 -4.310721122756837867e+05
1.517092934485986255e-01 1.818079194628708858e-02 6.930516656581615642e-01 9.525189486334061373e-01 2.520618832966219358e+00 1.215077843823715753e+00 0.000000000000000000e+00 -3.598298448651690269e+05
9.064593286398101024e-02 1.835813169588226129e-02 6.984533367034158058e-01 9.629105321341235868e-01 2.795066685262382666e+00 8.332725168845772634e-01 0.000000000000000000e+00 -2.261173807757227332e+05
1.365748359927611844e-01 1.961501020382018165e-02 7.293086929564605025e-01 9.575763308969093002e-01 2.944522297951829071e+00 1.234951058386180467e+00 0.000000000000000000e+00 -3.855796261864313274e+05
1.374393494345933220e-01 1.908277229578138681e-02 6.690901603541695719e-01 9.306332870685682934e-01 2.363847964870343876e+00 1.429509311303400532e+00 0.000000000000000000e+00 -4.147906297014472075e+05
1.305451755391829893e-01 2.368810536491215354e-02 6.185783768985303466e-01 9.414602703148624574e-01 2.808425624464349291e+00 5.952719376666127937e-01 0.000000000000000000e+00 -4.623319912712876103e+05
9.915291851877693075e-02 2.543238543519798014e-02 6.961657659244788743e-01 9.724038977766744640e-01 2.442050966532542944e+00 6.383237571426586543e-01 0.000000000000000000e+00 -1.178046408588782419e+06
8.709857502797226092e-02 2.052384304747194299e-02 7.447072726084441596e-01 9.856370386241450898e-01 2.072480353327879055e+00 5.282840007532184634e-01 0.000000000000000000e+00 -3.135991015253972262e+06
8.684352034880485349e-02 2.266333446226079240e-02 7.188989746745397813e-01 9.508511078575990760e-01 2.555826718271329234e+00 7.206741487939094526e-01 0.000000000000000000e+00 -9.795882369709049817e+05
1.028666367367930268e-01 2.332825157301322144e-02 6.218641460105357455e-01 9.207375109298941984e-01 2.075656678585183990e+00 9.666312557965283103e-01 0.000000000000000000e+00 -2.416987396835884720e+05
9.829786754938252269e-02 2.448974423003002013e-02 7.466725387892422239e-01 9.226584345063337800e-01 2.981239162988435609e+00 6.503006459128684025e-01 0.000000000000000000e+00 -7.339233983649964212e+05
1.442669606191636644e-01 2.653900207997477584e-02 6.606962747083175991e-01 9.671657023171229550e-01 2.649105340466727743e+00 1.460187229353625327e+00 0.000000000000000000e+00 -5.331244304049101193e+05
8.658433383855813903e-02 2.183975280050749063e-02 6.486821846734113217e-01 9.469680461644699454e-01 2.979916361514651779e+00 8.351690312596400378e-01 0.000000000000000000e+00 -3.087395047466236283e+05
